STRAIN	NCBI REFSEQ ID
Pseudomonas sp. Q12-87 [RHIZ|PSYMB]	GCF_001269755.1
Pseudomonas sp. Root329 [RHIZ]	GCF_001424925.1
Pseudomonas sp. Root401 [RHIZ]	GCF_001425105.1
Pseudomonas sp. Root562 [RHIZ]	GCF_001427125.1
Pseudomonas sp. Root569 [RHIZ]	GCF_001427465.1
Pseudomonas sp. Root68 [RHIZ]	GCF_001427765.1
Pseudomonas sp. Root71 [RHIZ]	GCF_001429045.1
Pseudomonas sp. Root9 [RHIZ]	GCF_001429205.1
Pseudomonas thivervalensis PITR2 [RHIZ|PSYMB]	GCF_001269685.1
Pseudomonas veronii R4 Genome sequencing [RHIZ]	GCF_000836475.1
Pseudomonas sp. SLBN-2 [RHIZ|PSYMB|PGPB]	GCF_006715345.1
Celerinatantimonas diazotrophica DSM 18577 [RHIZ]	GCF_004339545.1
Dyella sp. YR388 [RHIZ]	GCF_003688835.1
Luteibacter sp. UNCMF366Tsu5.1 [RHIZ]	GCF_900119235.1
Luteibacter sp. UNCMF331Sha3.1 [RHIZ]	GCF_900109915.1
Luteibacter sp. OK325 [RHIZ]	GCF_003050935.1
Luteibacter yeojuensis 583 [RHIZ]	GCF_007829075.1
Pseudomonas sp. 395MF [RHIZ]	not_announced
Pseudomonas sp. 397MF [RHIZ]	not_announced
Rhodanobacter sp. Root179 [RHIZ]	GCF_001428465.1
Rhodanobacter sp. Root480 [RHIZ]	GCF_001426645.1
Rhodanobacter sp. Root561 [RHIZ]	GCF_001427365.1
Rhodanobacter sp. Root627 [RHIZ]	GCF_001427835.1
Rhodanobacter sp. T12-5 [RHIZ]	GCF_008329435.1
Rhodanobacter spathiphylli B39 [RHIZ]	GCF_000264295.1
Cellvibrio sp. YR554 [RHIZ]	GCF_004363885.1
Lysobacter sp. Root494 [RHIZ]	GCF_001427225.1
Lysobacter sp. Root559 [RHIZ]	GCF_001427065.1
Lysobacter sp. Root604 [RHIZ]	GCF_001427505.1
Lysobacter sp. Root667 [RHIZ]	GCF_001427715.1
Lysobacter sp. Root690 [RHIZ]	GCF_001427785.1
Lysobacter sp. Root76 [RHIZ]	GCF_001428685.1
Lysobacter sp. Root916 [RHIZ]	GCF_001429785.1
Lysobacter sp. Root96 [RHIZ]	GCF_001429315.1
Lysobacter sp. Root983 [RHIZ]	GCF_001429345.1
Pseudoxanthomonas sp. Root630 [RHIZ]	GCF_001427585.1
Pseudoxanthomonas sp. Root65 [RHIZ]	GCF_001427635.1
Stenotrophomonas maltophilia 1190 (v2) [RHIZ]	GCF_006716455.1
Stenotrophomonas maltophilia RR-10 [RHIZ|PPATH]	GCF_000237025.1
Stenotrophomonas maltophilia AA1 [RHIZ]	GCF_002025605.1
Stenotrophomonas maltophilia SEMIA 4027 [RHIZ|PSYMB]	GCF_014200115.1
Stenotrophomonas sp. WCS2014-113 [RHIZ]	not_announced
Xanthomonas sp. WCS2014-23 [RHIZ]	not_announced
Xanthomonas translucens 569 [RHIZ]	GCF_007829315.1
Rahnella aquatilis OV744 [RHIZ]	GCF_000799835.1
Rahnella aquatilis OV588 [RHIZ]	GCF_000799815.1
Serratia plymuthica AS9 [RHIZ|PSYMB|PGPB]	GCF_000214235.1
Serratia plymuthica AS12 [RHIZ]	GCF_000214195.1
Serratia plymuthica 3Rp8 [RHIZ|PSYMB|PGPB]	GCF_001663115.1
Opitutaceae bacterium EW11 [RHIZ]	GCA_003054665.1
Haloferula luteola DSM 21608 [RHIZ]	GCF_014201715.1
Candidatus Xiphinematobacter sp. Idaho Grape [RHIZ|PSYMB|HAPATH]	GCF_001318295.1
Haloferula sp. BvORR071 [RHIZ]	GCA_000739615.1
Verrucomicrobium sp. BvORR034 [RHIZ]	GCA_000739635.1
Verrucomicrobium sp. BvORR106 [RHIZ]	GCA_000739655.1
